iter	Passed	Remaining
635	6678	3822
636	6688	3811
637	6698	3800
638	6709	3790
639	6719	3779
640	6729	3769
641	6740	3758
642	6750	3747
643	6759	3736
644	6769	3725
645	6780	3715
646	6792	3705
647	6803	3695
648	6813	3685
649	6823	3674
650	6833	3663
651	6845	3653
652	6856	3643
653	6865	3632
654	6875	3621
655	6885	3610
656	6895	3600
657	6907	3590
658	6918	3579
659	6928	3569
660	6938	3558
661	6948	3547
662	6958	3537
663	6968	3526
664	6979	3515
665	6990	3505
666	7000	3494
667	7011	3484
668	7022	3474
669	7031	3463
670	7041	3452
671	7052	3442
672	7061	3431
673	7072	3420
674	7081	3409
675	7092	3399
676	7102	3388
677	7113	3378
678	7123	3367
679	7134	3357
680	7144	3346
681	7155	3336
682	7164	3325
683	7175	3314
684	7185	3304
685	7195	3293
686	7206	3283
687	7215	3272
688	7225	3261
689	7236	3251
690	7245	3240
691	7256	3229
692	7266	3219
693	7276	3208
694	7286	3197
695	7297	3187
696	7308	3176
697	7319	3166
698	7329	3156
699	7339	3145
700	7351	3135
701	7360	3124
702	7371	3114
703	7380	3103
704	7391	3092
705	7402	3082
706	7413	3072
707	7423	3061
708	7433	3051
709	7444	3040
710	7455	3030
711	7466	3020
712	7476	3009
713	7486	2998
714	7496	2988
715	7506	2977
716	7517	2967
717	7527	2956
718	7538	2946
719	7547	2935
720	7557	2924
721	7567	2913
722	7576	2902
723	7586	2892
724	7596	2881
725	7605	2870
726	7616	2860
727	7626	2849
728	7636	2838
729	7646	2828
730	7655	2817
731	7666	2806
732	7676	2796
733	7685	2785
734	7694	2774
735	7704	2763
736	7715	2753
737	7725	2742
738	7735	2732
739	7746	2721
740	7755	2710
741	7766	2700
742	7778	2690
743	7788	2679
744	7798	2669
745	7808	2658
746	7818	2647
747	7828	2637
748	7839	2626
749	7848	2616
750	7860	2606
751	7870	2595
752	7882	2585
753	7891	2574
754	7902	2564
755	7913	2554
756	7923	2543
757	7934	2533
758	7945	2522
759	7955	2512
760	7965	2501
761	7975	2490
762	7985	2480
763	7995	2469
764	8004	2458
765	8014	2448
766	8024	2437
767	8033	2426
768	8043	2416
769	8053	2405
770	8064	2395
771	8073	2384
772	8083	2373
773	8094	2363
774	8105	2353
775	8116	2342
776	8127	2332
777	8139	2322
778	8152	2312
779	8162	2302
780	8173	2292
781	8184	2281
782	8194	2271
783	8206	2261
784	8216	2250
785	8227	2239
786	8237	2229
787	8247	2218
788	8257	2208
789	8268	2197
790	8278	2187
791	8290	2177
792	8302	2167
793	8311	2156
794	8322	2145
795	8332	2135
796	8341	2124
797	8351	2114
798	8360	2103
799	8371	2092
800	8382	2082
801	8391	2071
802	8401	2061
803	8411	2050
804	8421	2040
805	8431	2029
806	8441	2018
807	8450	2008
808	8461	1997
809	8471	1987
810	8482	1976
811	8492	1966
812	8503	1956
813	8514	1945
814	8523	1934
815	8533	1924
816	8544	1913
817	8555	1903
818	8565	1893
819	8575	1882
820	8586	1872
821	8596	1861
822	8606	1850
823	8617	1840
824	8629	1830
825	8639	1819
826	8650	1809
827	8660	1799
828	8670	1788
829	8681	1778
830	8692	1767
831	8703	1757
832	8713	1746
833	8722	1736
834	8733	1725
835	8744	1715
836	8754	1704
837	8766	1694
838	8777	1684
839	8787	1673
840	8797	1663
841	8808	1652
842	8817	1642
843	8828	1631
844	8837	1621
845	8848	1610
846	8858	1600
847	8869	1589
848	8879	1579
849	8889	1568
850	8900	1558
851	8910	1547
852	8919	1537
853	8930	1526
854	8941	1516
855	8952	1506
856	8962	1495
857	8972	1484
858	8983	1474
859	8992	1463
860	9003	1453
861	9013	1442
862	9023	1432
863	9034	1422
864	9044	1411
865	9054	1401
866	9064	1390
867	9075	1380
868	9085	1369
869	9096	1359
870	9106	1348
871	9117	1338
872	9128	1327
873	9138	1317
874	9148	1306
875	9158	1296
876	9168	1285
877	9179	1275
878	9189	1265
879	9200	1254
880	9210	1244
881	9220	1233
882	9231	1223
883	9241	1212
884	9252	1202
885	9263	1191
886	9274	1181
887	9285	1171
888	9295	1160
889	9305	1150
890	9316	1139
891	9326	1129
892	9336	1118
893	9346	1108
894	9356	1097
895	9366	1087
896	9377	1076
897	9386	1066
898	9397	1055
899	9407	1045
900	9417	1034
901	9427	1024
902	9438	1013
903	9448	1003
904	9460	993
905	9472	982
906	9486	972
907	9498	962
908	9511	952
909	9524	941
910	9536	931
911	9548	921
912	9560	911
913	9571	900
914	9581	890
915	9591	879
916	9601	869
917	9611	858
918	9622	848
919	9631	837
920	9642	827
921	9653	816
922	9663	806
923	9673	795
924	9683	785
925	9693	774
926	9704	764
927	9713	753
928	9724	743
929	9735	732
930	9746	722
931	9756	711
932	9767	701
933	9777	690
934	9787	680
935	9798	669
936	9808	659
937	9818	649
938	9828	638
939	9839	628
940	9850	617
941	9860	607
942	9871	596
943	9882	586
944	9892	575
945	9902	565
946	9912	554
947	9923	544
948	9933	533
949	9943	523
950	9954	512
951	9964	502
952	9974	491
953	9985	481
954	9996	471
955	10005	460
956	10016	450
957	10026	439
958	10036	429
959	10046	418
960	10056	408
961	10067	397
962	10077	387
963	10091	376
964	10106	366
965	10122	356
966	10137	345
967	10154	335
968	10168	325
969	10179	314
970	10190	304
971	10200	293
972	10211	283
973	10220	272
974	10231	262
975	10241	251
976	10252	241
977	10262	230
978	10272	220
979	10282	209
980	10292	199
981	10302	188
982	10312	178
983	10322	167
984	10333	157
985	10343	146
986	10353	136
987	10363	125
988	10373	115
989	10384	104
990	10394	94
991	10404	83
992	10414	73
993	10424	62
994	10434	52
995	10445	41
996	10454	31
997	10465	20
998	10474	10
999	10484	0
